securityId,securityName,symbol,indexId,openPrice,highPrice,lowPrice,totalTradeQuantity,totalTradeValue,lastTradedPrice,percentageChange,lastUpdatedDateTime,lastTradedVolume,previousClose,averageTradedPrice
137,Everest Bank Limited,EBL,58,609.0,610.0,599.6,2135,1285068.0,599.6,-1.69,2024-09-25 11:07:49.731826,30,609.9,601.91
8041,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,NESDO,58,2061.0,2061.0,2061.0,10,20610.0,2061.0,0.0,2024-09-25 11:07:46.84853,10,2061.0,2061.0
2829,Swabhimaan Laghubitta Bittiya Sanstha Limited,SMFBS,58,1448.0,1499.0,1448.0,324,482432.0,1499.0,5.56,2024-09-25 11:07:36.953346,200,1420.0,1488.99
8076,Himalayan Hydropower Limited,HHL,58,482.5,482.5,464.0,640,303095.0,477.0,-3.11,2024-09-25 11:07:33.427621,20,492.3,473.59
8034,Emerging Nepal Limited,ENL,58,1059.1,1059.1,1059.1,10,10591.0,1059.1,-1.94,2024-09-25 11:07:31.744666,10,1080.1,1059.1
704,NMB  Microfinance Bittiya Sanstha Ltd.,NMBMF,58,655.0,655.0,655.0,50,32750.0,655.0,-1.16,2024-09-25 11:07:15.311547,50,662.7,655.0
8121,Sayapatri Hydropower Limited,SPHL,58,691.4,691.4,688.9,250,172402.0,690.0,1.78,2024-09-25 11:07:06.154957,50,677.9,689.61
184,Prabhu Insurance Ltd.,PRIN,58,958.0,958.0,958.0,10,9580.0,958.0,1.81,2024-09-25 11:07:05.146166,10,941.0,958.0
2917,Chandragiri Hills Limited,CGH,58,859.0,860.4,859.0,20,17194.0,860.4,-0.53,2024-09-25 11:07:03.471575,10,865.0,859.7
561,Sindhu Bikash Bank Ltd,SINDU,58,559.9,559.9,548.8,398,222508.0,559.9,1.99,2024-09-25 11:07:02.596685,200,549.0,559.07
8099,Upper Hewakhola Hydropower Company Limited,UHEWA,58,459.7,459.7,451.0,210,96450.0,451.0,-3.84,2024-09-25 11:07:01.454695,10,469.0,459.29
700,Himalayan Everest Insurance Limited Promoter,HEIP,58,373.1,373.1,373.1,10,3731.0,373.1,2.0,2024-09-25 11:06:54.628983,10,365.8,373.1
9230,Muktinath Krishi Company Limited,MKCL,58,1346.0,1346.0,1346.0,10,13460.0,1346.0,1.97,2024-09-25 11:06:53.235814,10,1320.0,1346.0
371,Miteri Development Bank Limited,MDB,58,606.7,606.7,582.8,550,326468.0,586.0,-1.5,2024-09-25 11:06:49.853732,10,594.9,593.58
8023,Mega Mutual Fund -1,MMF1,58,8.02,8.02,8.02,100,802.0,8.02,-1.47,2024-09-25 11:06:37.646752,100,8.14,8.02
135,Nepal SBI Bank Limited,SBI,58,410.1,418.0,410.1,130,54103.0,418.0,0.26,2024-09-25 11:06:37.050313,100,416.9,416.18
459,Kamana Sewa Bikas Bank Limited,KSBBL,58,449.0,449.0,449.0,15,6735.0,449.0,0.11,2024-09-25 11:06:36.213567,15,448.5,449.0
4951,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,JBLB,58,1440.0,1440.0,1403.0,5385,7559224.0,1430.0,0.0,2024-09-25 11:06:33.306055,30,1430.0,1403.76
9147,Shuvam Power Limited,SPL,58,808.5,809.0,808.5,30,24265.0,809.0,-1.94,2024-09-25 11:06:21.794103,20,825.0,808.83
155,Salt Trading Corporation,STC,58,5500.0,5500.0,5500.0,49,269500.0,5500.0,-0.36,2024-09-25 11:06:16.869378,20,5520.0,5500.0
9233,Nepal Warehousing Company Limited ,NWCL,58,916.9,929.0,916.9,20,18459.0,929.0,3.34,2024-09-25 11:06:15.859805,10,899.0,922.95
2776,Radhi Bidyut Company Ltd,RADHI,58,366.1,366.1,365.9,2010,735641.0,366.0,1.95,2024-09-25 11:06:12.810792,1800,359.0,365.99
8025,Samling Power Company Limited,SPC,58,539.1,539.1,539.1,10,5391.0,539.1,-1.98,2024-09-25 11:05:57.525493,10,550.0,539.1
256,Samriddhi Finance Company Limited,SFCL,58,518.2,518.2,508.0,60,30582.0,508.0,-0.02,2024-09-25 11:05:51.666322,50,508.1,509.7
9192,Upper Syange Hydropower Limited,USHL,58,861.5,861.5,800.0,10665,8543756.0,815.0,-7.28,2024-09-25 11:05:50.611942,10,879.0,801.1
9203,Manakamana Engineering Hydropower Limited,MEHL,58,374.0,374.0,359.7,155,56905.0,371.0,1.09,2024-09-25 11:05:49.388108,10,367.0,367.13
8131,Eastern Hydropower Limited,EHPL,58,710.0,710.0,710.0,20,14200.0,710.0,-1.39,2024-09-25 11:05:26.610813,10,720.0,710.0
450,Corporate Development Bank Limited,CORBL,58,851.7,851.7,834.7,200,168640.0,834.7,-3.95,2024-09-25 11:05:06.609832,100,869.0,843.2
2811,Mountain Hydro Nepal Limited,MHNL,58,260.0,260.0,260.0,50,13000.0,260.0,0.85,2024-09-25 11:05:05.44239,50,257.8,260.0
